gender,senior,partner,deps,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,labels,tenure_map
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.85,0,0.0
1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95,0,2.0
1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.85,1,0.0
1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.3,0,3.0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,1,0.0
0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.65,1,0.0
1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.1,0,1.0
0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,0,0.0
0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8,1,2.0
1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.15,0,5.0
1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95,0,1.0
1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.95,0,1.0